tid,jid,cpuReq,memReq,priority,couldCreateServer
5,4707865726,0.0625,0.01746,0,true
7,4707865726,0.0625,0.01746,0,true
10,4707865726,0.0625,0.01746,0,true
11,4707865726,0.0625,0.01746,0,true
13,4707865726,0.0625,0.01746,0,true
15,4707865726,0.0625,0.01746,0,true
17,4707865726,0.0625,0.01746,0,true
19,4707865726,0.0625,0.01746,0,true
20,4707865726,0.0625,0.01746,0,true
21,4707865726,0.0625,0.01746,0,true
24,4707865726,0.0625,0.01746,0,true
27,4707865726,0.0625,0.01746,0,true
29,4707865726,0.0625,0.01746,0,true
30,4707865726,0.0625,0.01746,0,true
31,4707865726,0.0625,0.01746,0,true
33,4707865726,0.0625,0.01746,0,true
35,4707865726,0.0625,0.01746,0,true
44,4707865726,0.0625,0.01746,0,true
48,4707865726,0.0625,0.01746,0,true
49,4707865726,0.0625,0.01746,0,true
53,4707865726,0.0625,0.01746,0,true
61,4707865726,0.0625,0.01746,0,true
63,4707865726,0.0625,0.01746,0,true
65,4707865726,0.0625,0.01746,0,true
68,4707865726,0.0625,0.01746,0,true
69,4707865726,0.0625,0.01746,0,true
70,4707865726,0.0625,0.01746,0,true
73,4707865726,0.0625,0.01746,0,true
75,4707865726,0.0625,0.01746,0,true
76,4707865726,0.0625,0.01746,0,true
78,4707865726,0.0625,0.01746,0,true
80,4707865726,0.0625,0.01746,0,true
83,4707865726,0.0625,0.01746,0,true
85,4707865726,0.0625,0.01746,0,true
88,4707865726,0.0625,0.01746,0,true
89,4707865726,0.0625,0.01746,0,true
95,4707865726,0.0625,0.01746,0,true
96,4707865726,0.0625,0.01746,0,true
335,6219557576,0.03125,0.006836,0,true
336,6219557576,0.03125,0.006836,0,true
337,6219557576,0.03125,0.006836,0,true
338,6219557576,0.03125,0.006836,0,true
339,6219557576,0.03125,0.006836,0,true
340,6219557576,0.03125,0.006836,0,true
341,6219557576,0.03125,0.006836,0,true
342,6219557576,0.03125,0.006836,0,true
343,6219557576,0.03125,0.006836,0,true
344,6219557576,0.03125,0.006836,0,true
345,6219557576,0.03125,0.006836,0,true
346,6219557576,0.03125,0.006836,0,true
347,6219557576,0.03125,0.006836,0,true
348,6219557576,0.03125,0.006836,0,true
349,6219557576,0.03125,0.006836,0,true
350,6219557576,0.03125,0.006836,0,true
351,6219557576,0.03125,0.006836,0,true
352,6219557576,0.03125,0.006836,0,true
353,6219557576,0.03125,0.006836,0,true
354,6219557576,0.03125,0.006836,0,true
355,6219557576,0.03125,0.006836,0,true
356,6219557576,0.03125,0.006836,0,true
357,6219557576,0.03125,0.006836,0,true
358,6219557576,0.03125,0.006836,0,true
359,6219557576,0.03125,0.006836,0,true
360,6219557576,0.03125,0.006836,0,true
361,6219557576,0.03125,0.006836,0,true
362,6219557576,0.03125,0.006836,0,true
363,6219557576,0.03125,0.006836,0,true
364,6219557576,0.03125,0.006836,0,true
365,6219557576,0.03125,0.006836,0,true
366,6219557576,0.03125,0.006836,0,true
367,6219557576,0.03125,0.006836,0,true
368,6219557576,0.03125,0.006836,0,true
369,6219557576,0.03125,0.006836,0,true
370,6219557576,0.03125,0.006836,0,true
371,6219557576,0.03125,0.006836,0,true
372,6219557576,0.03125,0.006836,0,true
373,6219557576,0.03125,0.006836,0,true
374,6219557576,0.03125,0.006836,0,true
375,6219557576,0.03125,0.006836,0,true
376,6219557576,0.03125,0.006836,0,true
377,6219557576,0.03125,0.006836,0,true
378,6219557576,0.03125,0.006836,0,true
379,6219557576,0.03125,0.006836,0,true
380,6219557576,0.03125,0.006836,0,true
381,6219557576,0.03125,0.006836,0,true
382,6219557576,0.03125,0.006836,0,true
383,6219557576,0.03125,0.006836,0,true
384,6219557576,0.03125,0.006836,0,true
385,6219557576,0.03125,0.006836,0,true
386,6219557576,0.03125,0.006836,0,true
387,6219557576,0.03125,0.006836,0,true
388,6219557576,0.03125,0.006836,0,true
389,6219557576,0.03125,0.006836,0,true
390,6219557576,0.03125,0.006836,0,true
391,6219557576,0.03125,0.006836,0,true
392,6219557576,0.03125,0.006836,0,true
393,6219557576,0.03125,0.006836,0,true
394,6219557576,0.03125,0.006836,0,true
395,6219557576,0.03125,0.006836,0,true
396,6219557576,0.03125,0.006836,0,true
397,6219557576,0.03125,0.006836,0,true
398,6219557576,0.03125,0.006836,0,true
399,6219557576,0.03125,0.006836,0,true
