hostId,cpuCapacity,freeCpu,memCapacity,freeMem
487404,0.5,0.01929,0.4995,0.17333
487407,0.5,8.0E-5,0.4995,0.009633
487411,0.5,0.0088373,0.4995,0.115572
487414,0.5,0.0118853,0.4995,0.00149
487535,0.5,6.03E-4,0.4995,0.130538
487538,0.5,5.026E-4,0.4995,0.347568
487541,0.5,0.003112,0.4995,0.22877
487545,0.5,0.064173,0.4995,6.54E-4
487547,0.5,0.0,0.4995,0.262064
487548,0.5,0.014881,0.4995,0.173725
495767,0.5,0.04376,0.4995,0.248525
514995,0.5,0.00354,0.4995,0.38375
514996,0.5,0.002561,0.4995,0.053721
567335,0.5,0.0018832,0.4995,8.4E-4
567336,0.5,0.006652,0.4995,0.19393
567341,0.5,0.012553,0.4995,0.166669
567345,0.5,6.656E-4,0.4995,0.0099486
567348,0.5,0.00499,0.4995,0.00278
567376,0.5,0.01879,0.4995,0.179214
567377,0.5,0.0531,0.4995,0.359549
567382,0.5,2.26E-5,0.4995,0.033619
567383,0.5,0.003151,0.4995,0.154853
567596,0.5,0.0055293,0.4995,0.002529
567597,0.5,0.0012593,0.4995,0.009395
567599,0.5,4.789E-4,0.4995,0.001115
567601,0.5,0.0562,0.4995,0.42809
567604,0.5,0.013735,0.4995,0.204586
567608,0.5,1.4E-5,0.4995,0.011302
567610,0.5,0.018003,0.4995,0.17349
567611,0.5,0.0048826,0.4995,0.003066
567616,0.5,0.0562,0.4995,0.42809
567617,0.5,5.253E-4,0.4995,0.036425
567618,0.5,5.153E-4,0.4995,0.02674
567624,0.5,0.00549,0.4995,0.184931
567626,0.5,0.02615,0.4995,3.01E-4
567748,0.5,0.01056,0.4995,0.211723
567752,0.5,0.001851,0.4995,0.002027
567756,0.5,0.0698,0.4995,0.001634
567757,0.5,0.001894,0.4995,0.07012
567763,0.5,0.0,0.4995,0.248298
567764,0.5,0.0019136,0.4995,0.00341
567769,0.5,4.806E-4,0.4995,0.012514
567777,0.5,0.01878,0.4995,0.287001
567780,0.5,0.00306,0.4995,0.364835
567782,0.5,0.0081616,0.4995,0.155971
567783,0.5,0.0562,0.4995,0.42809
567790,0.5,0.002496,0.4995,0.144512
567902,0.5,0.004454,0.4995,0.110795
567907,0.5,0.0018306,0.4995,0.052721
567909,0.5,0.00415,0.4995,0.276097
567910,0.5,1.213E-4,0.4995,0.116557
567917,0.5,0.0018126,0.4995,0.001209
567920,0.5,0.0044153,0.4995,0.236919
567924,0.5,0.026164,0.4995,6.34E-4
567929,0.5,0.012542,0.4995,0.166001
567930,0.5,0.021881,0.4995,0.260178
567933,0.5,1.0E-6,0.4995,0.053241
568912,0.5,0.03678,0.4995,0.00224
595665,0.5,0.17985,0.4995,0.010733
595666,0.5,0.005023,0.4995,0.174813
595672,0.5,0.001794,0.4995,0.063673
595677,0.5,0.00508,0.4995,0.111039
599601,0.5,0.003051,0.4995,0.001387
599604,0.5,0.0,0.4995,0.30623
599605,0.5,0.03125,0.4995,0.3504
599607,0.5,1.0E-6,0.4995,0.128093
599610,0.5,2.0E-5,0.4995,0.012467
599614,0.5,0.001922,0.4995,0.142363
599619,0.5,0.0012003,0.4995,0.132235
599620,0.5,0.004385,0.4995,0.121494
599621,0.5,0.00627,0.4995,0.206284
599623,0.5,0.008102,0.4995,0.181513
599624,0.5,0.01575,0.4995,0.24075
599626,0.5,0.00124,0.4995,0.07358
599632,0.5,0.00485,0.4995,0.061415
599637,0.5,0.0024603,0.4995,0.037845
599756,0.5,0.020701,0.4995,0.17635
599757,0.5,0.016381,0.4995,0.181514
599758,0.5,0.028082,0.4995,0.002272
599760,0.5,5.353E-4,0.4995,0.040391
599763,0.5,0.0037893,0.4995,0.141224
599764,0.5,0.002443,0.4995,0.13221
599765,0.5,0.0150603,0.4995,0.001131
599770,0.5,0.03748,0.4995,0.23814
599788,0.5,0.00238,0.4995,0.145544
599792,0.5,1.06E-5,0.4995,0.0128528
599793,0.5,0.0019,0.4995,0.075573
599794,0.5,0.0044499,0.4995,0.013734
602943,0.5,0.002066,0.4995,0.086331
602945,0.5,9.5E-5,0.4995,0.057206
602946,0.5,5.48E-4,0.4995,0.024322
602948,0.5,2.0E-5,0.4995,0.04373
602949,0.5,0.0021463,0.4995,0.024217
602951,0.5,0.04689,0.4995,0.003481
602953,0.5,0.1486,0.4995,0.003897
602954,0.5,0.00318,0.4995,0.11942
602955,0.5,0.0181146,0.4995,0.002746
602962,0.5,0.0023906,0.4995,0.002455
602971,0.5,0.00425,0.4995,0.054863
602972,0.5,0.024981,0.4995,0.26857
602973,0.5,0.02502,0.4995,0.224991
602974,0.5,0.064292,0.4995,0.007328
602978,0.5,0.0025653,0.4995,2.548E-4
602979,0.5,0.17985,0.4995,0.010733
602980,0.5,0.00174,0.4995,0.059661
602981,0.5,0.00621,0.4995,0.244046
602982,0.5,5.0E-5,0.4995,0.105294
602985,0.5,0.061735,0.4995,0.00256
602987,0.5,6.3E-5,0.4995,0.0211288
603107,0.5,0.015531,0.4995,0.183793
603108,0.5,0.00381,0.4995,0.199295
603109,0.5,0.0043859,0.4995,0.021828
603110,0.5,0.0086153,0.4995,9.68E-4
603111,0.5,1.06E-5,0.4995,0.041196
603115,0.5,0.04376,0.4995,0.381741
