hostId,cpuCapacity,freeCpu,memCapacity,freeMem
5,0.5,0.05697,0.2493,0.002854
6,0.5,0.037512,0.2493,5.438E-4
7,0.5,0.06596,0.2493,0.002214
10,0.5,0.0024473,0.2493,0.003675
13,0.5,0.224401,0.2493,0.003014
14,0.5,0.12997,0.2493,0.00232
19,0.5,0.06255,0.2493,0.002745
21,0.5,0.05624,0.2493,0.002446
23,0.5,0.013072,0.2493,0.0013308
25,0.5,0.038738,0.2493,1.64E-4
26,0.5,0.00573,0.2493,0.001772
27,0.5,0.116597,0.2493,0.004217
28,0.5,0.16876,0.2493,0.001661
36,0.5,0.0018426,0.2493,0.001593
37,0.5,0.001841,0.2493,0.002796
38,0.5,0.05936,0.2493,0.002735
39,0.5,1.529E-4,0.2493,0.006473
41,0.5,0.0018018,0.2493,0.003739
43,0.5,0.12815,0.2493,1.54E-4
45,0.5,0.008763,0.2493,0.003646
46,0.5,0.12501,0.2493,1.35E-4
49,0.5,0.009582,0.2493,0.0017368
52,0.5,0.0030859,0.2493,0.007751
54,0.5,0.256262,0.2493,0.005731
56,0.5,0.16253,0.2493,0.002761
60,0.5,0.05255,0.2493,7.37E-4
61,0.5,0.071222,0.2493,0.001221
62,0.5,0.0031273,0.2493,0.003244
63,0.5,0.00119,0.2493,0.001006
67,0.5,0.0106553,0.2493,5.45E-4
68,0.5,0.08932,0.2493,0.00183
72,0.5,0.15963,0.2493,0.002061
73,0.5,0.06144,0.2493,3.06E-4
74,0.5,0.01824,0.2493,0.001765
75,0.5,0.07818,0.2493,0.001477
121306,0.5,0.00225,0.2493,5.8E-4
243096,0.5,0.19931,0.2493,0.001081
381113,0.5,0.0,0.4995,0.043495
381126,0.5,0.00168,0.4995,7.93E-4
381128,0.5,1.4E-5,0.4995,0.002233
381129,0.5,0.0,0.4995,0.33746
381133,0.5,3.0E-5,0.4995,0.104423
381139,0.5,0.0025112,0.4995,0.002658
381227,0.5,6.1E-4,0.4995,0.03679
381233,0.5,0.00621,0.4995,0.227061
381234,0.5,0.031264,0.4995,0.0013804
381235,0.5,0.00633,0.4995,0.071883
381236,0.5,0.0,0.4995,0.09557
381352,0.5,0.03239,0.4995,9.0E-4
381361,0.5,0.23368,0.2493,0.00117
