servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
-237 72.078125 383.6355283 0.0580434972713829 -72.078125 0.00133000000005268 729.588044 0.124444644707833 -0.00133000000005268
-236 41.28125 318.6901 0.0482311311382395 -41.28125 1136.68883 1333.478371 0.219343636179439 -1136.68883
-237 32.828125 436.248558 0.0660453323130486 -32.828125 659.56383 960.3326234 0.158748712313971 -659.56383
-236 50.03125 350.22467 0.0530072465177725 -50.03125 936.75133 1144.7700494 0.187991774695703 -936.75133
-236 34.4375 453.897338 0.0687169737927503 -34.4375 647.12633 951.6095892 0.158265598840998 -647.12633
-637 192.28125 387.9725703 0.0586030974711977 -192.28125 0.00133000000005268 834.962634 0.142418217174015 -0.00133000000005268
-237 20.34375 418.492054 0.0633649223385333 -20.34375 878.43883 1207.5909896 0.19952767293886 -878.43883
-236 24.46875 285.29554 0.0431867169549939 -24.46875 874.81383 1048.819639 0.171848309914394 -874.81383
-612 6.21875 381.3765193 0.0577512602728154 -6.21875 0.00133000000005268 774.602707 0.132122722902115 -0.00133000000005268
-236 28.125 343.12017 0.0519399828003913 -28.125 967.56383 1205.476964 0.198593300853822 -967.56383
-236 26.640625 285.382655 0.0431935802464611 -26.640625 845.93883 1036.544697 0.170404491294889 -845.93883
-237 38.796875 405.061224 0.0613184386544836 -38.796875 728.00133 1071.746986 0.17792773376237 -728.00133
-236 46.28125 364.740794 0.0552092046165033 -46.28125 678.00133 1053.094015 0.174883178993715 -678.00133
-236 60.234375 342.504887 0.0518272486961504 -60.234375 722.68883 903.134635 0.147923393619246 -722.68883
-236 45.140625 446.036935 0.0675153327625942 -45.140625 281.68883 743.844525 0.125288075697813 -281.68883
-236 31.765625 426.636256 0.0645875731952772 -31.765625 383.62633 865.081784 0.145094540423745 -383.62633
-236 51.75 388.391891 0.0587859415465701 -51.75 685.87633 1028.068079 0.170116375338879 -685.87633
-236 80.46875 420.66606 0.0636401252965279 -80.46875 799.18883 992.293699 0.164669894678137 -799.18883
-237 47.515625 503.313135 0.0761847629906109 -47.515625 181.68883 781.080343 0.131975303078052 -181.68883
-236 56.703125 444.852567 0.0673292187723796 -56.703125 543.81383 1003.90637 0.167905516446339 -543.81383
-236 28.71875 380.501883 0.0576022529905 -28.71875 826.81383 1013.671361 0.166372615140973 -826.81383
-263 0 464.175564 0.0702950159391209 0 614.31383 993.95091828 0.163866481787167 -614.31383
-236 19.046875 363.845415 0.055087460890945 -19.046875 940.93883 1131.388404 0.187287885175017 -940.93883
-236 44.6875 375.1126 0.0567806390327803 -44.6875 763.50133 912.95327 0.151075016562196 -763.50133
-295 0 291.837166 0.0441959892477189 0 1038.37633 1087.50101298 0.177152346738571 -1038.37633
-238 47.328125 499.9888783 0.0756987218046078 -47.328125 0.00133000000005268 520.194559 0.0887287358468314 -0.00133000000005268
-236 21.515625 388.989962 0.0588944054938162 -21.515625 772.06383 1011.771041 0.166465068613128 -772.06383
-683 143.265625 501.4847433 0.0758284110304685 -143.265625 0.00133000000005268 582.629411 0.0993781494507572 -0.00133000000005268
