servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3507 404.875 403.070602 0.0609109897220487 -404.875 0.00133000000005268 537.2826234 0.0916434131015048 -0.00133000000005268
3271 0 339.565118 0.0514239379093628 0 881.25133 1102.53103488 0.175126363364975 -881.25133
2889 0 446.112674 0.0675595614280847 0 387.12633 731.87807174 0.119261652469783 -387.12633
3313 0 364.147326 0.0551466817097641 0 676.75133 917.83894684 0.146514446229946 -676.75133
3522 13.625 466.995583 0.0707177025003767 -13.625 404.00133 763.2254004 0.125388853522943 -404.00133
3288 407.75 400.393781 0.0604268003488389 -407.75 0.00133000000005268 680.284716 0.116035049206764 -0.00133000000005268
3522 0 432.10059 0.0654375633210919 0 694.00133 991.47261888 0.159251050588018 -694.00133
2878 0 303.085804 0.0458994894938099 0 606.62633 842.2344121 0.134954350901901 -606.62633
2876 176.4375 384.984688 0.0581827425843619 -176.4375 0.00133000000005268 611.259611 0.104261549220822 -0.00133000000005268
3289 0 364.653297 0.0552233062507099 0 662.25133 984.21607964 0.158545501557408 -662.25133
2887 0 309.269838 0.0468360031802521 0 594.62633 829.8097341 0.133276903515791 -594.62633
2951 0 418.876073 0.063434834816189 0 465.00133 816.38459054 0.132532905150498 -465.00133
2879 0 373.267247 0.0565278078219059 0 416.37633 821.3268661 0.134298245544649 -416.37633
2886 0 355.539241 0.053843068337561 0 459.12633 691.6568411 0.111209812876669 -459.12633
2574 0 457.937316 0.0693502920531556 0 0.00133000000005268 501.940176 0.0856151064605344 -0.00133000000005268
2655 0 440.773374 0.0667509747472835 0 178.50133 579.40403594 0.0961940189110368 -178.50133
2879 0 398.89679 0.0604091606405936 0 427.62633 810.2461771 0.132167706118107 -427.62633
2881 135.8125 429.36605 0.0649391285271998 -135.8125 494.25133 678.85304 0.10819485578116 -494.25133
2874 0 518.728597 0.0785565588157347 0 0.00133000000005268 578.8213756 0.0987286079618231 -0.00133000000005268
2860 0 454.869012 0.0688856263203725 0 256.50133 736.224041 0.121997758954847 -256.50133
2844 0 394.335455 0.0597183894294476 0 538.50133 791.2123091 0.127096819510516 -538.50133
3412 0 473.54502 0.0717139317760194 0 649.00133 912.45325878 0.147875168248749 -649.00133
3124 0 380.102388 0.0575629255290955 0 734.25133 924.96198364 0.148466165293966 -734.25133
2863 0 389.745796 0.0590233288153561 0 434.50133 608.6322011 0.0971747819890576 -434.50133
3412 0 303.47159 0.0459579131488282 0 966.12633 968.02319278 0.153447180588225 -966.12633
2879 81.9375 498.982913 0.0755297411584243 -81.9375 0.00133000000005268 363.5192826 0.0620048816146025 -0.00133000000005268
3125 0 402.822181 0.0610036241244842 0 675.87633 909.76723764 0.147659871283128 -675.87633
3162 361.5 518.850859 0.0784225530045793 -361.5 0.00133000000005268 440.6203058 0.0751558808566674 -0.00133000000005268
