servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
12041 195.375 412.8392343 0.0625049175539808 -195.375 229.00133 866.057154 0.147515090613382 -229.00133
12043 0 351.5432482 0.0532379128762352 0 1309.75133 1487.7609441 0.25164045279526 -1309.75133
12043 0 462.823398 0.0700902431378488 0 873.25133 1150.7935278 0.194997195195465 -873.25133
12043 39.6875 376.3711939 0.0569972775058949 -39.6875 1148.25133 1325.6805763 0.224323843745862 -1148.25133
12043 4.625 480.6775632 0.0727940561850367 -4.625 903.25133 1100.5515348 0.186402876247364 -903.25133
12029 106.8125 417.6760196 0.0632439008135943 -106.8125 82.0013300000001 986.1958534 0.168133425445687 -82.0013300000001
12043 7.75 443.2430768 0.0671249223109895 -7.75 1115.00133 1380.6871107 0.233841605271873 -1115.00133
12043 3.6875 317.884144 0.0481405212841298 -3.6875 1112.25133 1239.1351383 0.209549982276379 -1112.25133
12025 0 411.8005959 0.0623633204709802 0 128.50133 905.2949477 0.154281010174106 -128.50133
12043 0 377.4015502 0.0571539090902207 0 1086.25133 1369.6011631 0.231896673036939 -1086.25133
12043 7.8125 325.735999 0.0493295957698337 -7.8125 1028.75133 1214.4022373 0.205520826911028 -1028.75133
12043 6.5625 431.6763084 0.0653732348009336 -6.5625 934.00133 1231.4617133 0.2086904265914 -934.00133
12043 57.3125 389.4669542 0.0589799571633275 -57.3125 897.75133 1221.9726693 0.207082395190601 -897.75133
12043 51.0625 371.6400381 0.0562803065480631 -51.0625 951.75133 1117.8072913 0.189319225256687 -951.75133
12043 113.875 475.2859354 0.0719717904619922 -113.875 490.75133 889.5082389 0.151116967247767 -490.75133
12043 20.75 456.7787073 0.069174569086146 -20.75 727.75133 1028.8758165 0.174471588779353 -727.75133
12043 26.5 414.7171 0.062804558684158 -26.5 900.50133 1217.2436411 0.206302225850747 -900.50133
12043 112.375 454.88481 0.06888541306531 -112.375 926.50133 1120.252219 0.189724797878929 -926.50133
12043 68.25 536.1599379 0.0811946195887861 -68.25 469.00133 968.7195557 0.164611048337815 -469.00133
12043 47.125 473.7073342 0.0717371332326436 -47.125 718.00133 1154.9692739 0.196052874776702 -718.00133
12043 52.875 411.6057157 0.0623327054449819 -52.875 1052.25133 1203.4186327 0.203647871565879 -1052.25133
12042 0 483.1846466 0.0731737624048764 0 980.25133 1230.50746104 0.208260643664459 -980.25133
12043 16 394.2853572 0.0597106650344822 -16 1164.00133 1260.5922235 0.213101968670536 -1164.00133
12043 53.6875 400.1758565 0.0606019387762592 -53.6875 979.00133 1048.3450195 0.177223725473479 -979.00133
12042 0 311.7843586 0.0472168036345739 0 1298.75133 1269.0378249 0.214241483809007 -1298.75133
12043 148.625 515.8583103 0.0781137998411557 -148.625 347.75133 685.3016765 0.116537627842345 -347.75133
12043 33.5625 417.6294169 0.0632456010451642 -33.5625 1083.00133 1205.9895737 0.204079887603699 -1083.00133
12043 135.9375 532.1489205 0.0805759168127398 -135.9375 70.2513300000001 699.5121685 0.119254299829264 -70.2513300000001
