servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3195 84.75 396.9244723 0.060072443745623 -84.75 0.00133000000005268 737.1216786 0.125729644852816 -0.00133000000005268
2844 0 332.748964 0.0503916956044372 0 1073.06383 1302.06957214 0.21334139711898 -1073.06383
2988 0 445.090047 0.0674046942036119 0 603.12633 955.06931514 0.158230031229557 -603.12633
2881 0 358.16245 0.0542403286260553 0 878.06383 1134.54606484 0.18647637855761 -878.06383
3520 9.625 468.222344 0.0709050424694084 -9.625 590.50133 972.5579699 0.162632896658405 -590.50133
2845 270.875 393.4528223 0.0594038755289303 -270.875 0.00133000000005268 827.7950358 0.14119565127917 -0.00133000000005268
3509 0 432.387867 0.0654810687161625 0 902.25133 1228.00921824 0.203437216013934 -902.25133
2827 0 301.053523 0.0455917196834892 0 846.00133 1077.2017871 0.177777029830291 -846.00133
2519 20.1875 390.9165683 0.0591900308608398 -20.1875 0.00133000000005268 757.156597 0.129146967497228 -0.00133000000005268
2849 0 358.819242 0.0543397935864915 0 839.81383 1179.1125621 0.194426792045131 -839.81383
2828 0 307.832274 0.046618297656457 0 810.75133 1047.8661631 0.172954281258141 -810.75133
2654 0 412.980018 0.0625419328361034 0 675.81383 1044.85528694 0.173138508318754 -675.81383
2881 0 372.898645 0.0564719865217885 0 664.50133 1073.8896071 0.178990153371699 -664.50133
2832 0 353.825068 0.0535834729867868 0 696.50133 927.6034731 0.152911459094491 -696.50133
2535 0 458.556018 0.0694439886419566 0 210.68883 722.5159921 0.121929742369761 -210.68883
2613 0 439.639242 0.0665792211411048 0 412.87633 845.07267614 0.141221198386615 -412.87633
2833 0 397.596687 0.0602122722901601 0 664.81383 1042.61009764 0.173095506299417 -664.81383
2814 170.8125 427.42536 0.0646151193244752 -170.8125 782.81383 955.330716 0.15750202580711 -782.81383
2598 0 517.332889 0.0783451919887934 0 207.06383 797.6534461 0.134724343119319 -207.06383
2821 0 454.38254 0.068811954719267 0 499.25133 973.3865751 0.162513440849732 -499.25133
2854 0 393.113073 0.059533271192216 0 781.81383 1003.6038781 0.164801132946788 -781.81383
3413 0 475.483466 0.0720074911596562 0 833.62633 1088.80974478 0.180368582324009 -833.62633
3120 0 380.284361 0.0575904836254875 0 970.18883 1157.24179664 0.192360109542832 -970.18883
2874 0 389.709542 0.059017838488623 0 720.18883 888.4609431 0.1466128155754 -720.18883
3412 0 303.991058 0.046036581683262 0 1150.50133 1125.38032278 0.184070261192282 -1150.50133
2882 0 505.3041793 0.0765235572331806 0 0.00133000000005268 526.57696788 0.089817373240546 -0.00133000000005268
3122 0 402.92937 0.0610198568886533 0 853.00133 1079.15547364 0.179166004933971 -853.00133
2699 182.375 510.4795043 0.0771965029725065 -182.375 0.00133000000005268 593.87856 0.101296899013676 -0.00133000000005268
