servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
8897 107.75 403.285733 0.0610412857684177 -107.75 0.00133000000005268 708.6467182 0.120872715868977 -0.00133000000005268
9652 0 349.587043 0.0529416640290766 0 1085.25133 1300.69298224 0.212931295393232 -1085.25133
8897 0 459.554916 0.0695952623329421 0 519.00133 840.56887684 0.137518394598066 -519.00133
9662 0 374.960469 0.0567842303411199 0 875.00133 1117.29035484 0.183045627386784 -875.00133
9537 37.375 478.781289 0.0725050203386875 -37.375 525.00133 881.1885318 0.145911836252468 -525.00133
9078 154.625 400.708759 0.060608541201796 -154.625 0.00133000000005268 879.55938 0.150025013643249 -0.00133000000005268
8874 0 439.65135 0.0665810547836293 0 754.50133 1067.65943884 0.173178723807736 -754.50133
9295 0 316.553166 0.0479389945859993 0 663.25133 908.9415691 0.146867755945099 -663.25133
9221 71.5 402.803459 0.0609826549788228 -71.5 0.00133000000005268 736.4103334 0.125608310109484 -0.00133000000005268
9635 0 374.976565 0.0567866679286715 0 827.50133 1161.6562447 0.191074213785115 -827.50133
9294 0 323.107777 0.0489316286677015 0 652.00133 881.9457111 0.142385381947206 -652.00133
9354 0 429.374243 0.065024683754212 0 692.25133 1036.59516584 0.171400838325379 -692.25133
9362 0 387.567024 0.0586933743232499 0 543.25133 938.41975924 0.154364402619201 -543.25133
9296 0 369.254857 0.0559201691591262 0 546.75133 784.5267141 0.127255794442127 -546.75133
9242 12.875 473.28132 0.0716727596037334 -12.875 144.00133 636.6964003 0.107347680421085 -144.00133
9289 10.875 454.19983 0.0687835033334023 -10.875 320.25133 750.4229329 0.124837390532596 -320.25133
9294 0 412.559315 0.0624782213304055 0 523.25133 910.5476427 0.149470806571195 -523.25133
7609 116.1875 432.710042 0.0654670165650742 -116.1875 653.25133 841.904556 0.136743688902808 -653.25133
9225 3.6875 533.129044 0.0807370206634022 -3.6875 132.25133 708.7806672 0.119707275872993 -132.25133
9293 29.5 471.960748 0.0714719604898747 -29.5 479.75133 934.0543406 0.155356239949253 -479.75133
9294 0 409.748738 0.0620525859235982 0 635.00133 910.8736323 0.148407055900244 -635.00133
9058 0 482.3289723 0.0730441785938742 0 549.00133 809.77060658 0.129870519682453 -549.00133
9296 0 393.17024 0.0595419285957672 0 731.25133 911.97248044 0.145978265709708 -731.25133
9295 0 400.0006508 0.0605763299587324 0 524.00133 690.4010085 0.110989216361659 -524.00133
8796 0 310.8933108 0.0470818628402681 0 845.00133 838.37481158 0.129318261583897 -845.00133
9192 16.5 515.0440267 0.077997377300456 -16.5 0.00133000000005268 433.3962587 0.0739236869704509 -0.00133000000005268
8897 0 414.031273 0.0627011355014576 0 645.75133 863.60690864 0.139188361362205 -645.75133
7942 161.1875 505.16656 0.0763849710798483 -161.1875 0.00133000000005268 574.0832578 0.0979204456087036 -0.00133000000005268
