tasks prod nonprod.tasks total.cpu total.mem nTasks cpu.request mem.request pendingFraction cpuOnQueue memOnQueue
-5836 238 -6074 413.5720472 780.0859095 0 0 0 -0.0446044375148082 0.0505292908870864 0.110412679092267
-7435 238 -7673 351.600864 188.23377798 0 0 0 -0.0669620743382598 0.0475662973066865 0.0387940646748717
4173 238 3935 463.0778231 281.81012658 0 0 0 0.0298696557795959 0.0578091177800641 0.0498735358736464
125 238 -113 376.8878712 206.60265384 0 0 0 0.00104528159886275 0.0514621421356859 0.040971304116897
3131 238 2893 480.8489839 211.73295198 0 0 0 0.0252083249466608 0.065062131878282 0.0387057002309307
-5017 238 -5255 414.9792597 992.335038400001 0 0 0 -0.035941484941399 0.0509582678609897 0.140192612430908
-1332 238 -1570 443.4768358 278.252629579999 0 0 0 -0.0099483908552479 0.0563804939025092 0.0485582988595132
-3953 238 -4191 318.1928451 136.84182864 0 0 0 -0.032253590078329 0.046050018206025 0.0267908067810375
-7783 238 -8021 413.539372500001 783.395870700002 0 0 0 -0.0527786254365443 0.0516527679146481 0.111026629478616
-1450 238 -1688 377.4638458 287.29881464 0 0 0 -0.0137565936776593 0.0559022932478447 0.0592829975381168
-2979 238 -3217 325.8900176 193.07433764 0 0 0 -0.0240684484374495 0.0463851874379786 0.0370645805969452
-9571 238 -9809 432.0466887 309.56494058 0 0 0 -0.0740611772717072 0.0543801400259136 0.0444625504378906
959 238 721 390.1904479 340.1520021 0 0 0 0.00712974045960435 0.0533227388704966 0.0598332121262399
87 238 -151 372.4226056 196.06390264 0 0 0 0.000678029505973676 0.0534024937781836 0.0369489054866409
4928 238 4690 477.2611861 452.3881113 0 0 0 0.0419172372729979 0.0685180847199448 0.0799208940494368
-551 238 -789 457.1909153 318.14437024 0 0 0 -0.00451598626353361 0.0626028970611922 0.0560838653722952
1250 238 1012 415.2979221 337.83272464 0 0 0 0.0099910480209732 0.0569493467541834 0.0633336964417356
5947 238 5709 342.50981 193.750889 0 0 0 0.0499366031018297 0.0527759756658103 0.0395900290784162
8298 238 8060 537.124826 544.1357361 0 0 0 0.0641257476700514 0.0734011388013357 0.0906669537451099
3709 238 3471 474.8427439 451.75385364 0 0 0 0.0302770567011151 0.0662935139304732 0.0837391303998396
771 238 533 412.372611 198.71067664 0 0 0 0.00642114731161303 0.0589535885903963 0.0384000605550741
-12306 238 -12544 483.198354 251.60809678 0 0 0 -0.0760963664696134 0.0561550776471988 0.0387046669393836
-2004 238 -2242 394.5286753 104.67956624 0 0 0 -0.016820970815112 0.0549910909050966 0.0208368307629093
-15298 238 -15536 400.7932083 108.63965964 0 0 0 -0.127679107965547 0.058918652823636 0.0215929686497093
-27284 238 -27522 311.814552999999 -27.8548512200002 0 0 0 -0.190989527916223 0.0376113831481431 -0.00460925947494653
-11197 238 -11435 518.036247699999 428.39636994 0 0 0 -0.0685448078700728 0.0636834308077566 0.0595344654205787
-872 238 -1110 418.0654382 147.98549124 0 0 0 -0.00770719721409568 0.0602204484621959 0.0291880405159861
-12435 238 -12673 535.154227299999 722.9730817 0 0 0 -0.0898722924481256 0.0698651249338507 0.111302686150928
