servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3426 45.875 400.604202 0.0606511682384 -45.875 98.2200800000001 857.1815378 0.146095554698528 -98.2200800000001
3480 0 338.044188 0.0511936073903002 0 1301.329455 1492.54243298 0.252706256358374 -1301.329455
3522 0 450.121475 0.0681666565706281 0 867.204455 1154.68994158 0.195787670536611 -867.204455
3213 0 362.514219 0.0548993630409268 0 1095.516955 1331.04515384 0.22555054600215 -1095.516955
3051 11.875 465.155947 0.0704391684646401 -11.875 727.454455 1102.962774 0.187164922603302 -727.454455
2413 40.75 401.8474048 0.0608376451303874 -40.75 0.00133000000005268 981.6484906 0.167438191861662 -0.00133000000005268
3272 0 429.878582 0.0651010611441336 0 1102.735705 1380.99851558 0.233929517046245 -1102.735705
2772 0 302.440454 0.045801757316473 0 998.454455 1245.3496001 0.211050411097966 -998.454455
2457 0 396.140855 0.059991800249877 0 65.4544550000001 898.83051084 0.153232262103358 -65.4544550000001
3465 0 363.706683 0.0550799504789308 0 1046.548205 1375.0769503 0.233109884058481 -1046.548205
2772 0 309.379204 0.0468525656305607 0 995.15758 1220.84777764 0.206908630329106 -995.15758
3180 0 418.418757 0.0633655786165903 0 915.15758 1234.25098058 0.209286654937739 -915.15758
2845 0 374.501309 0.0567146948850945 0 832.860705 1224.99833604 0.207797459412699 -832.860705
2771 0 354.669401 0.053711339264756 0 876.28258 1119.9857275 0.189881334635136 -876.28258
3119 0 462.54354 0.0700478612804301 0 388.048205 892.05734504 0.151718172595923 -388.048205
2565 17.125 441.197582 0.0668088650681612 -17.125 596.516955 1029.0051627 0.174701340261732 -596.516955
2778 0 398.638052 0.0603699772081929 0 840.25133 1219.43233144 0.206841177743618 -840.25133
1438 128.1875 442.73613 0.0670088132465712 -128.1875 926.548205 1114.821402 0.188624515187466 -926.548205
3120 0 521.655386 0.0789997934350509 0 398.34508 974.11331984 0.165698637731073 -398.34508
3121 0 459.721809 0.0696205367054102 0 713.09508 1158.0896393 0.196666189144029 -713.09508
3122 0 396.638293 0.0600671325483663 0 932.423205 1209.93240284 0.205188040357966 -932.423205
3413 0 475.007842 0.0719354623859463 0 975.06383 1225.11504578 0.20716769372151 -975.06383
3122 0 380.597621 0.0576379239011093 0 1100.860705 1265.47560124 0.214255387602189 -1100.860705
3120 0 394.29075 0.0597116192783856 0 876.641955 1038.82791764 0.175510569616839 -876.641955
3413 0 304.195956 0.0460676115549161 0 1279.06383 1261.52401578 0.212645204243195 -1279.06383
3071 7.375 509.154644 0.0771051462993032 -7.375 219.56383 664.4358053 0.112975344848545 -219.56383
3122 0 403.09275 0.0610445992503691 0 1011.00133 1210.62198064 0.205165127123983 -1011.00133
2224 23.8125 519.5266011 0.0786682482564186 -23.8125 0.00133000000005268 697.0721696 0.11889846988059 -0.00133000000005268
