servers infra.cpu infra.freeCpu cpu.fragmentation cpu.remaing infra.mem infra.freeMem mem.fragmentation mem.remaing
3568 104.5 394.0081603 0.0596146895889975 -104.5 0.00133000000005268 687.3422982 0.117238854626386 -0.00133000000005268
3567 0 338.477784 0.0512592714193768 0 1082.18883 1299.69816814 0.21275408959882 -1082.18883
3584 0 449.916852 0.0681356683451331 0 657.12633 970.50086774 0.160723065012556 -657.12633
3578 0 364.379328 0.055181816226858 0 879.81383 1136.04761284 0.186761205174415 -879.81383
3575 10.75 463.566199 0.0701984331961297 -10.75 543.25133 926.6837132 0.154296136080079 -543.25133
3221 152.5 298.0829873 0.0447004741822544 -152.5 0.00133000000005268 816.4757206 0.139264933578433 -0.00133000000005268
3570 0 430.406903 0.0651810703820089 0 893.81383 1195.71230574 0.197003902760025 -893.81383
3573 0 307.36653 0.0465477651156627 0 816.12633 1052.9975231 0.173225384485066 -816.12633
3292 45.25 380.0933143 0.057526390372451 -45.25 0.00133000000005268 727.85777 0.124149512889749 -0.00133000000005268
3554 0 364.098017 0.0551392143262787 0 844.56383 1177.5868641 0.19407853463609 -844.56383
3581 0 313.684216 0.0475045191383031 0 791.00133 1024.1712991 0.168445071130039 -791.00133
3568 0 418.667893 0.0634033079165563 0 707.00133 1045.24740454 0.172947943006208 -707.00133
3593 0 378.115407 0.057262015976981 0 636.87633 1027.25722164 0.170261808111428 -636.87633
3605 0 360.153244 0.0545418156210957 0 689.75133 920.0579401 0.151511125774965 -689.75133
3577 0 463.62506 0.0702116472948927 0 200.75133 701.78608964 0.118332421910657 -200.75133
3586 17 443.979942 0.0672313613534034 -17 418.93883 829.2644531 0.138271111121324 -418.93883
3573 0 402.808814 0.0610015998182713 0 627.81383 1020.8703551 0.16923817926372 -627.81383
2685 119.5 432.51245 0.0654347169501508 -119.5 725.43883 913.505967 0.149816277503049 -725.43883
3573 0 523.181309 0.079230880096922 0 212.62633 788.80135364 0.133120559325399 -212.62633
3561 0 460.230652 0.0696975961836974 0 499.93883 967.9070851 0.161486391668401 -499.93883
3570 0 399.06195 0.0604341725665392 0 753.56383 1023.41308664 0.168942924326654 -753.56383
3582 0 475.18549 0.0719623655018362 0 801.81383 1062.07253878 0.175321947575249 -801.81383
3577 0 381.77575 0.0578163404384205 0 938.62633 1117.04089564 0.184390821008365 -938.62633
3559 0 394.556772 0.0597519058039602 0 682.06383 867.1008331 0.142785162598707 -682.06383
3588 0 304.199965 0.0460682186801954 0 1112.00133 1099.10247778 0.178864539577892 -1112.00133
3560 0 511.175767 0.0774127538711998 0 24.4388300000001 479.59757948 0.0816338668288168 -24.4388300000001
3582 0 403.954208 0.0611750589482452 0 829.56383 1040.47465064 0.17163779731819 -829.56383
2925 116.25 441.9497963 0.0666732392506467 -116.25 0.00133000000005268 544.612035 0.0928935857221316 -0.00133000000005268
